person_nbr,officer_id,full_name,first_name_npi,last_name_npi,agency_name_score,full_name_score,first_name_oov,oov_middle_initial,last_name_oov,rank,agency_name,oov_agency_name,start_date,end_date
27936,82594,WALTER WESSELLS,WALTER,WESSELLS,1.0,1.0,WALTER,Todd,WESSELLS,SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,1993-05-05,
50334,82593,BRYAN SHREAVES,BRYAN,SHREAVES,1.0,1.0,BRYAN,Preston,SHREAVES,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2021-08-25,
25272,82587,ROBERT STEELE,ROBERT,STEELE,1.0,1.0,ROBERT,Mitchell,STEELE,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2022-06-02,
62888,82535,MICHAEL BARNES,MICHAEL,BARNES,1.0,1.0,MICHAEL,Parker,BARNES,CORRECTIONAL OFFICER,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2014-11-01,
27731,84561,DAVID DRUMMOND,DAVID,DRUMMOND,1.0,1.0,DAVID,Roy,DRUMMOND,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2023-06-12,
14538,82581,PAUL MEULI,PAUL,MEULI,1.0,1.0,PAUL,Ryan,MEULI,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2021-07-26,
77722,82542,MARION BRADY,MARION,BRADY,1.0,1.0,MARION,T.,BRADY,CORRECTIONAL OFFICER,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2012-09-18,
23830,82567,WENDY POOLE,WENDY,POOLE,1.0,1.0,WENDY,B.,POOLE,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2022-01-17,
162094,84570,BRYCE OTT,BRYCE,OTT,1.0,1.0,BRYCE,Aaron,OTT,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2023-07-01,
64077,82560,DONALD WILLIAMS,DONALD,WILLIAMS,1.0,1.0,DONALD,Marshall,WILLIAMS,SERGEANT,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2008-12-22,
66741,82540,BRIAN TYNDALL,BRIAN,TYNDALL,1.0,1.0,BRIAN,Lee,TYNDALL,CORRECTIONAL OFFICER,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2011-08-01,
163027,84569,BRYAN ORTIZ-PEREZ,BRYAN,ORTIZ-PEREZ,1.0,1.0,BRYAN,,ORTIZ-PEREZ,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2023-08-14,
152483,82545,SARAH CROCKETT,SARAH,CROCKETT,1.0,1.0,SARAH,M.,CROCKETT,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2021-11-01,
35573,82573,NICHOLAS LEWIS,NICHOLAS,LEWIS,1.0,1.0,NICHOLAS,David,LEWIS,CORPORAL,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2019-12-09,
152979,82544,STACEY CLARK,STACEY,CLARK,1.0,1.0,STACEY,Lynn,CLARK,CORPORAL,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2021-10-18,
156405,82552,NICKOLOUS JONES,NICKOLOUS,JONES,1.0,1.0,NICKOLOUS,Anthony,JONES,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2022-09-06,
117063,82539,COREY TINGLE,COREY,TINGLE,1.0,1.0,COREY,Lee,TINGLE,JAILOR,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2015-02-15,
123475,82543,IAN BUCK,IAN,BUCK,1.0,1.0,IAN,Thomas,BUCK,SERGEANT,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2006-11-01,
150140,84559,ANNEKA CLARK,ANNEKA,CLARK,1.0,1.0,ANNEKA,Catherine,CLARK,DISPATCH/COMM OFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2021-08-11,
159478,84564,DYLAN HARRINGTON,DYLAN,HARRINGTON,1.0,1.0,DYLAN,W.,HARRINGTON,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2023-03-06,
91229,82554,AMBER MARTIN,AMBER,MARTIN,1.0,1.0,AMBER,Nicole,MARTIN,SERGEANT,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2010-08-16,
162081,84555,SARAH AMADEO,SARAH,AMADEO,1.0,1.0,SARAH,Elizabeth,AMADEO,DEPUTY SHERIFF,ACCOMACK COUNTY SHERIFF'S OFFICE,ACCOMACK COUNTY SHERIFF'S OFFICE,2023-07-19,
